executable,--main::instance,--main::method,--MSS_BSA::neighbors_accepted_ratio,--MSS_BSA::max_evaluations,--MSS_BSA::cooling_rate,--MSS_BSA::start_temperature,--MSS_BSA::expected_min_temperature,--mip::timeout,--main::swap_rate,rep,cost,score,initial_score,time,initial_time,violations,lower_bound,seed,mip_status
./mss,../Instances/Generated/I240_24_1.dzn,BSA+MIP,0.08,50000000,0.99,18.64,0.87,3600,0.11,0
./mss,../Instances/Generated/I240_24_2.dzn,BSA+MIP,0.08,50000000,0.99,18.64,0.87,3600,0.11,0
./mss,../Instances/Generated/I160_24_2.dzn,BSA+MIP,0.08,50000000,0.99,18.64,0.87,3600,0.11,0
./mss,../Instances/Generated/I80_24_2.dzn,BSA+MIP,0.08,50000000,0.99,18.64,0.87,3600,0.11,0,18742,15694,15694,33626.4,43.5593,0,2428431,1357793180,Feasible
./mss,../Instances/Generated/I40_24_4.dzn,BSA+MIP,0.08,50000000,0.99,18.64,0.87,3600,0.11,0,12980,6859,6859,57097.9,61.6114,0,1470687,2212282251,Feasible
./mss,../Instances/Generated/I80_24_1.dzn,BSA+MIP,0.08,50000000,0.99,18.64,0.87,3600,0.11,0,16662,16443,16443,12396,37.194,0,17097,3308594492,Feasible
./mss,../Instances/Generated/I240_12_4.dzn,BSA+MIP,0.08,50000000,0.99,18.64,0.87,3600,0.11,0,21706,21077,21077,8577.44,74.832,0,24332,2901090047,Feasible
./mss,../Instances/Generated/I320_24_4.dzn,BSA+MIP,0.08,50000000,0.99,18.64,0.87,3600,0.11,0
./mss,../Instances/Generated/I40_24_1.dzn,BSA+MIP,0.08,50000000,0.99,18.64,0.87,3600,0.11,0,11094,7720,7720,11515.1,27.6544,0,8379,1005930896,Feasible
./mss,../Instances/Generated/I80_24_4.dzn,BSA+MIP,0.08,50000000,0.99,18.64,0.87,3600,0.11,0,21427,12213,12213,44763.3,65.3122,0,1758078,3320326030,Feasible
./mss,../Instances/Generated/I40_24_2.dzn,BSA+MIP,0.08,50000000,0.99,18.64,0.87,3600,0.11,0,12170,7175,7175,18331.3,39.5454,0,8710,4259286256,Feasible
./mss,../Instances/Generated/I320_12_4.dzn,BSA+MIP,0.08,50000000,0.99,18.64,0.87,3600,0.11,0,26695,32206,32206,7986.6,53.4178,0,36106,1910942308,Feasible
