executable,Instance,--main::method,--MSS_BSA::neighbors_accepted_ratio,--MSS_BSA::max_evaluations,--MSS_BSA::cooling_rate,--MSS_BSA::start_temperature,--MSS_BSA::expected_min_temperature,--mip::timeout,--main::swap_rate,rep,cost_min,score,initial_score,time,initial_time,violations,lower_bound,seed,mip_status,cost_mean,cost
./mss,../Instances/Generated/I160_12_1.dzn,BSA+MIP,0.08,50000000,0.99,18.64,0.87,3600,0.11,8,13046.0,17742.0,17742.0,39237.4,26.3284,0.0,18319.0,473674389.0,Feasible,13048.875,2.0310096011592504
./mss,../Instances/Generated/I160_12_2.dzn,BSA+MIP,0.08,50000000,0.99,18.64,0.87,3600,0.11,6,14105.0,15081.0,15081.0,34484.7,33.1308,0.0,16215.0,1472671714.0,Feasible,14116.777777777777,6.553201083779237
./mss,../Instances/Generated/I160_12_4.dzn,BSA+MIP,0.08,50000000,0.99,18.64,0.87,3600,0.11,6,14877.0,13981.0,13981.0,18587.7,44.8893,0.0,16078.0,2006961101.0,Feasible,14891.555555555555,8.875684637129309
./mss,../Instances/Generated/I160_24_1.dzn,BSA+MIP,0.08,50000000,0.99,18.64,0.87,3600,0.11,1,26649.0,31373.0,31373.0,11867.9,29.3983,0.0,32825.0,869722951.0,Feasible,26668.444444444445,12.063489452798459
./mss,../Instances/Generated/I160_24_4.dzn,BSA+MIP,0.08,50000000,0.99,18.64,0.87,3600,0.11,4,32149.0,28034.0,28034.0,47472.5,62.0569,0.0,2434711.0,462994753.0,Feasible,32191.333333333332,49.84475900232645
./mss,../Instances/Generated/I240_12_1.dzn,BSA+MIP,0.08,50000000,0.99,18.64,0.87,3600,0.11,6,18097.0,19948.0,19947.0,8412.83,27.6255,0.0,21862.0,3571414804.0,Feasible,18127.0,28.40334487344755
./mss,../Instances/Generated/I240_12_2.dzn,BSA+MIP,0.08,50000000,0.99,18.64,0.87,3600,0.11,1,19877.0,23166.0,23166.0,9774.15,31.6497,0.0,24563.0,3564341683.0,Feasible,19894.333333333332,10.75871739567513
./mss,../Instances/Generated/I240_12_4.dzn,BSA+MIP,0.08,50000000,0.99,18.64,0.87,3600,0.11,4,21671.0,21112.0,21112.0,8620.32,64.8497,0.0,24330.0,2329611020.0,Feasible,21703.333333333332,19.583156027566222
./mss,../Instances/Generated/I240_24_1.dzn,BSA+MIP,0.08,50000000,0.99,18.64,0.87,3600,0.11,2,36384.0,50050.0,50050.0,27876.0,30.4234,0.0,5488957.0,573994363.0,Feasible,36384.0,
./mss,../Instances/Generated/I320_12_1.dzn,BSA+MIP,0.08,50000000,0.99,18.64,0.87,3600,0.11,4,24450.0,31817.0,31817.0,8614.45,53.8194,0.0,33827.0,2515719294.0,Feasible,24471.555555555555,16.561333816386373
./mss,../Instances/Generated/I320_12_2.dzn,BSA+MIP,0.08,50000000,0.99,18.64,0.87,3600,0.11,1,27308.0,29868.0,29868.0,17911.8,36.8308,0.0,32126.0,110685405.0,Feasible,27314.75,9.215023964519604
./mss,../Instances/Generated/I320_12_4.dzn,BSA+MIP,0.08,50000000,0.99,18.64,0.87,3600,0.11,7,26668.0,32233.0,32233.0,8395.42,57.2544,0.0,36067.0,2795389119.0,Feasible,26690.0,12.409673645991122
./mss,../Instances/Generated/I320_24_1.dzn,BSA+MIP,0.08,50000000,0.99,18.64,0.87,3600,0.11,8,46419.0,65918.0,65918.0,11084.6,28.9642,0.0,68023.0,2768161469.0,Feasible,46419.0,
./mss,../Instances/Generated/I40_12_1.dzn,BSA+MIP,0.08,50000000,0.99,18.64,0.87,3600,0.11,0,5454.0,4127.0,4127.0,36656.6,23.5073,0.0,4235.0,2591136472.0,Feasible,5454.0,0.0
./mss,../Instances/Generated/I40_12_2.dzn,BSA+MIP,0.08,50000000,0.99,18.64,0.87,3600,0.11,6,5909.0,3911.0,3911.0,52400.1,35.3684,0.0,4249.0,2568238383.0,Feasible,5921.333333333333,10.099504938361799
./mss,../Instances/Generated/I40_12_4.dzn,BSA+MIP,0.08,50000000,0.99,18.64,0.87,3600,0.11,4,5728.0,2857.0,2857.0,49992.7,46.7024,0.0,3363.0,1695474109.0,Feasible,5730.6,2.0736441353327337
./mss,../Instances/Generated/I40_24_1.dzn,BSA+MIP,0.08,50000000,0.99,18.64,0.87,3600,0.11,6,11068.0,7746.0,7746.0,19718.1,50.8557,0.0,8379.0,2758342314.0,Feasible,11089.0,9.60468635614937
./mss,../Instances/Generated/I40_24_2.dzn,BSA+MIP,0.08,50000000,0.99,18.64,0.87,3600,0.11,3,12164.0,7181.0,7179.0,20436.8,38.8511,0.0,8713.0,3276474114.0,Feasible,12187.0,23.210988776870405
./mss,../Instances/Generated/I40_24_4.dzn,BSA+MIP,0.08,50000000,0.99,18.64,0.87,3600,0.11,7,12818.0,7021.0,7021.0,65063.5,50.9602,0.0,8754.0,89753145.0,Feasible,12907.444444444445,56.22746462163984
./mss,../Instances/Generated/I80_12_1.dzn,BSA+MIP,0.08,50000000,0.99,18.64,0.87,3600,0.11,2,7950.0,8611.0,8611.0,41574.1,25.0748,0.0,8882.0,4164727444.0,Feasible,7951.222222222223,1.48136573621936
./mss,../Instances/Generated/I80_12_2.dzn,BSA+MIP,0.08,50000000,0.99,18.64,0.87,3600,0.11,0,8595.0,7206.0,7206.0,46351.1,29.3499,0.0,7622.0,3217326319.0,Feasible,8596.0,1.8516401995451977
./mss,../Instances/Generated/I80_12_4.dzn,BSA+MIP,0.08,50000000,0.99,18.64,0.87,3600,0.11,0,9022.0,8039.0,8039.0,9392.87,44.8003,0.0,9348.0,1401332632.0,Feasible,9034.333333333334,9.565563234854666
