executable,Instance,--main::method,--MSS_BSA::neighbors_accepted_ratio,--MSS_BSA::max_evaluations,--MSS_BSA::cooling_rate,--MSS_BSA::start_temperature,--MSS_BSA::expected_min_temperature,--mip::timeout,--main::swap_rate,rep,cost_min,score,initial_score,time,initial_time,violations,lower_bound,seed,mip_status,cost_mean,cost
./mss,../Instances/Generated/I160_12,BSA+MIP,0.08,50000000,0.99,18.64,0.87,3600,0.11,8,13046.0,17742.0,17742.0,39237.4,26.3284,0.0,18319.0,473674389.0,Feasible,14056.384615384615,759.790185613006
./mss,../Instances/Generated/I160_24,BSA+MIP,0.08,50000000,0.99,18.64,0.87,3600,0.11,1,26649.0,31373.0,31373.0,11867.9,29.3983,0.0,32825.0,869722951.0,Feasible,29429.88888888889,2841.7206653485987
./mss,../Instances/Generated/I240_12,BSA+MIP,0.08,50000000,0.99,18.64,0.87,3600,0.11,6,18097.0,19948.0,19947.0,8412.83,27.6255,0.0,21862.0,3571414804.0,Feasible,19908.222222222223,1488.013294329914
./mss,../Instances/Generated/I240_24,BSA+MIP,0.08,50000000,0.99,18.64,0.87,3600,0.11,2,36384.0,50050.0,50050.0,27876.0,30.4234,0.0,5488957.0,573994363.0,Feasible,36384.0,
./mss,../Instances/Generated/I320_12,BSA+MIP,0.08,50000000,0.99,18.64,0.87,3600,0.11,4,24450.0,31817.0,31817.0,8614.45,53.8194,0.0,33827.0,2515719294.0,Feasible,25896.045454545456,1234.2414087115837
./mss,../Instances/Generated/I320_24,BSA+MIP,0.08,50000000,0.99,18.64,0.87,3600,0.11,8,46419.0,65918.0,65918.0,11084.6,28.9642,0.0,68023.0,2768161469.0,Feasible,46419.0,
./mss,../Instances/Generated/I40_12,BSA+MIP,0.08,50000000,0.99,18.64,0.87,3600,0.11,0,5454.0,4127.0,4127.0,36656.6,23.5073,0.0,4235.0,2591136472.0,Feasible,5708.045454545455,210.34155382156248
./mss,../Instances/Generated/I40_24,BSA+MIP,0.08,50000000,0.99,18.64,0.87,3600,0.11,6,11068.0,7746.0,7746.0,19718.1,50.8557,0.0,8379.0,2758342314.0,Feasible,12061.148148148148,762.6999966568014
./mss,../Instances/Generated/I80_12,BSA+MIP,0.08,50000000,0.99,18.64,0.87,3600,0.11,2,7950.0,8611.0,8611.0,41574.1,25.0748,0.0,8882.0,4164727444.0,Feasible,8524.538461538461,462.119831279224
./mss,../Instances/Generated/I80_24,BSA+MIP,0.08,50000000,0.99,18.64,0.87,3600,0.11,1,16657.0,16448.0,16448.0,15262.8,26.3144,0.0,17096.0,163863652.0,Feasible,18973.80769230769,2059.571664579424
